% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.051	1	3	6	2	1	28	549	0
0.051	1	1	6	2	2	28	549	0
0.051	1	2	6	2	3	28	549	0
0.051	1	4	6	2	4	28	549	0
0.052	1	3	6	3	1	28	549	0
0.052	1	1	6	3	2	28	549	0
0.052	1	2	6	3	3	28	549	0
0.052	1	4	6	3	4	28	549	0
0.053	1	3	6	4	1	28	549	0
0.053	1	1	6	4	2	28	549	0
0.053	1	2	6	4	3	28	549	0
0.053	1	4	6	4	4	28	549	0
0.054	1	3	6	5	1	28	549	0
0.054	1	1	6	5	2	28	549	0
0.054	1	2	6	5	3	28	549	0
0.054	1	4	6	5	4	28	549	0
0.055	1	3	6	6	1	28	549	0
0.055	1	1	6	6	2	28	549	0
0.055	1	2	6	6	3	28	549	0
0.055	1	4	6	6	4	28	549	0
0.056	1	3	6	7	1	28	549	0
0.056	1	1	6	7	2	28	549	0
0.056	1	2	6	7	3	28	549	0
0.056	1	4	6	7	4	28	549	0
0.057	1	3	6	8	1	28	549	0
0.057	1	1	6	8	2	28	549	0
0.057	1	2	6	8	3	28	549	0
0.057	1	4	6	8	4	28	549	0
0.058	1	3	6	9	1	28	549	0
0.058	1	1	6	9	2	28	549	0
0.058	1	2	6	9	3	28	549	0
0.058	1	4	6	9	4	28	549	0
0.059	1	3	6	10	1	28	549	0
0.059	1	1	6	10	2	28	549	0
0.059	1	2	6	10	3	28	549	0
0.059	1	4	6	10	4	28	549	0
0.06	1	3	7	1	1	28	549	0
0.06	1	1	7	1	2	28	549	0
0.06	1	2	7	1	3	28	549	0
0.06	1	4	7	1	4	28	549	0
0.061	1	3	7	2	1	28	549	0
0.061	1	1	7	2	2	28	549	0
0.061	1	2	7	2	3	28	549	0
0.061	1	4	7	2	4	28	549	0
0.062	1	3	7	3	1	28	549	0
0.062	1	1	7	3	2	28	549	0
0.062	1	2	7	3	3	28	549	0
0.062	1	4	7	3	4	28	549	0
0.063	1	3	7	4	1	28	549	0
0.063	1	1	7	4	2	28	549	0
0.063	1	2	7	4	3	28	549	0
0.063	1	4	7	4	4	28	549	0
0.064	1	3	7	5	1	28	549	0
0.064	1	1	7	5	2	28	549	0
0.064	1	2	7	5	3	28	549	0
0.064	1	4	7	5	4	28	549	0
0.065	1	3	7	6	1	28	549	0
0.065	1	1	7	6	2	28	549	0
0.065	1	2	7	6	3	28	549	0
0.065	1	4	7	6	4	28	549	0
0.066	1	3	7	7	1	28	549	0
0.066	1	1	7	7	2	28	549	0
0.066	1	2	7	7	3	28	549	0
0.066	1	4	7	7	4	28	549	0
0.067	1	3	7	8	1	28	549	0
0.067	1	1	7	8	2	28	549	0
0.067	1	2	7	8	3	28	549	0
0.067	1	4	7	8	4	28	549	0
0.068	1	3	7	9	1	28	549	0
0.068	1	1	7	9	2	28	549	0
0.068	1	2	7	9	3	28	549	0
0.068	1	4	7	9	4	28	549	0
0.069	1	3	7	10	1	28	549	0
0.069	1	1	7	10	2	28	549	0
0.069	1	2	7	10	3	28	549	0
0.069	1	4	7	10	4	28	549	0
0.07	1	3	8	1	1	28	549	0
0.07	1	1	8	1	2	28	549	0
0.07	1	2	8	1	3	28	549	0
0.07	1	4	8	1	4	28	549	0
0.071	1	3	8	2	1	28	549	0
0.071	1	1	8	2	2	28	549	0
0.071	1	2	8	2	3	28	549	0
0.071	1	4	8	2	4	28	549	0
0.072	1	3	8	3	1	28	549	0
0.072	1	1	8	3	2	28	549	0
0.072	1	2	8	3	3	28	549	0
0.072	1	4	8	3	4	28	549	0
0.073	1	3	8	4	1	28	549	0
0.073	1	1	8	4	2	28	549	0
0.073	1	2	8	4	3	28	549	0
0.073	1	4	8	4	4	28	549	0
0.074	1	3	8	5	1	28	549	0
0.074	1	1	8	5	2	28	549	0
0.074	1	2	8	5	3	28	549	0
0.074	1	4	8	5	4	28	549	0
0.075	1	3	8	6	1	28	549	0
0.075	1	1	8	6	2	28	549	0
0.075	1	2	8	6	3	28	549	0
0.075	1	4	8	6	4	28	549	0
0.076	1	3	8	7	1	28	549	0
0.076	1	1	8	7	2	28	549	0
0.076	1	2	8	7	3	28	549	0
0.076	1	4	8	7	4	28	549	0
0.077	1	3	8	8	1	28	549	0
0.077	1	1	8	8	2	28	549	0
0.077	1	2	8	8	3	28	549	0
0.077	1	4	8	8	4	28	549	0
0.078	1	3	8	9	1	28	549	0
0.078	1	1	8	9	2	28	549	0
0.078	1	2	8	9	3	28	549	0
0.078	1	4	8	9	4	28	549	0
0.079	1	3	8	10	1	28	549	0
0.079	1	1	8	10	2	28	549	0
0.079	1	2	8	10	3	28	549	0
0.079	1	4	8	10	4	28	549	0
0.08	1	3	9	1	1	28	549	0
0.08	1	1	9	1	2	28	549	0
0.08	1	2	9	1	3	28	549	0
0.08	1	4	9	1	4	28	549	0
0.081	1	3	9	2	1	28	549	0
0.081	1	1	9	2	2	28	549	0
0.081	1	2	9	2	3	28	549	0
0.081	1	4	9	2	4	28	549	0
0.082	1	3	9	3	1	28	549	0
0.082	1	1	9	3	2	28	549	0
0.082	1	2	9	3	3	28	549	0
0.082	1	4	9	3	4	28	549	0
0.083	1	3	9	4	1	28	549	0
0.083	1	1	9	4	2	28	549	0
0.083	1	2	9	4	3	28	549	0
0.083	1	4	9	4	4	28	549	0
0.084	1	3	9	5	1	28	549	0
0.084	1	1	9	5	2	28	549	0
0.084	1	2	9	5	3	28	549	0
0.084	1	4	9	5	4	28	549	0
0.085	1	3	9	6	1	28	549	0
0.085	1	1	9	6	2	28	549	0
0.085	1	2	9	6	3	28	549	0
0.085	1	4	9	6	4	28	549	0
0.086	1	3	9	7	1	28	549	0
0.086	1	1	9	7	2	28	549	0
0.086	1	2	9	7	3	28	549	0
0.086	1	4	9	7	4	28	549	0
0.087	1	3	9	8	1	28	549	0
0.087	1	1	9	8	2	28	549	0
0.087	1	2	9	8	3	28	549	0
0.087	1	4	9	8	4	28	549	0
0.088	1	3	9	9	1	28	549	0
0.088	1	1	9	9	2	28	549	0
0.088	1	2	9	9	3	28	549	0
0.088	1	4	9	9	4	28	549	0
0.089	1	3	9	10	1	28	549	0
0.089	1	1	9	10	2	28	549	0
0.089	1	2	9	10	3	28	549	0
0.089	1	4	9	10	4	28	549	0
0.09	1	3	10	1	1	28	549	0
0.09	1	1	10	1	2	28	549	0
0.09	1	2	10	1	3	28	549	0
0.09	1	4	10	1	4	28	549	0
0.091	1	3	10	2	1	28	549	0
0.091	1	1	10	2	2	28	549	0
0.091	1	2	10	2	3	28	549	0
0.091	1	4	10	2	4	28	549	0
0.092	1	3	10	3	1	28	549	0
0.092	1	1	10	3	2	28	549	0
0.092	1	2	10	3	3	28	549	0
0.092	1	4	10	3	4	28	549	0
0.093	1	3	10	4	1	28	549	0
0.093	1	1	10	4	2	28	549	0
0.093	1	2	10	4	3	28	549	0
0.093	1	4	10	4	4	28	549	0
0.094	1	3	10	5	1	28	549	0
0.094	1	1	10	5	2	28	549	0
0.094	1	2	10	5	3	28	549	0
0.094	1	4	10	5	4	28	549	0
0.095	1	3	10	6	1	28	549	0
0.095	1	1	10	6	2	28	549	0
0.095	1	2	10	6	3	28	549	0
0.095	1	4	10	6	4	28	549	0
0.096	1	3	10	7	1	28	549	0
0.096	1	1	10	7	2	28	549	0
0.096	1	2	10	7	3	28	549	0
0.096	1	4	10	7	4	28	549	0
0.097	1	3	10	8	1	28	549	0
0.097	1	1	10	8	2	28	549	0
0.097	1	2	10	8	3	28	549	0
0.097	1	4	10	8	4	28	549	0
0.098	1	3	10	9	1	28	549	0
0.098	1	1	10	9	2	28	549	0
0.098	1	2	10	9	3	28	549	0
0.098	1	4	10	9	4	28	549	0
0.099	1	3	10	10	1	28	549	0
0.099	1	1	10	10	2	28	549	0
0.099	1	2	10	10	3	28	549	0
0.099	1	4	10	10	4	28	549	0
0.1	1	3	11	1	1	28	549	0
0.1	1	1	11	1	2	28	549	0
0.1	1	2	11	1	3	28	549	0
0.1	1	4	11	1	4	28	549	0
0.101	1	3	11	2	1	28	549	0
0.101	1	1	11	2	2	28	549	0
0.101	1	2	11	2	3	28	549	0
0.101	1	4	11	2	4	28	549	0
0.102	1	3	11	3	1	28	549	0
0.102	1	1	11	3	2	28	549	0
0.102	1	2	11	3	3	28	549	0
0.102	1	4	11	3	4	28	549	0
0.103	1	3	11	4	1	28	549	0
0.103	1	1	11	4	2	28	549	0
0.103	1	2	11	4	3	28	549	0
0.103	1	4	11	4	4	28	549	0
0.104	1	3	11	5	1	28	549	0
0.104	1	1	11	5	2	28	549	0
0.104	1	2	11	5	3	28	549	0
0.104	1	4	11	5	4	28	549	0
0.105	1	3	11	6	1	28	549	0
0.105	1	1	11	6	2	28	549	0
0.105	1	2	11	6	3	28	549	0
0.105	1	4	11	6	4	28	549	0
0.106	1	3	11	7	1	28	549	0
0.106	1	1	11	7	2	28	549	0
0.106	1	2	11	7	3	28	549	0
0.106	1	4	11	7	4	28	549	0
0.107	1	3	11	8	1	28	549	0
0.107	1	1	11	8	2	28	549	0
0.107	1	2	11	8	3	28	549	0
0.107	1	4	11	8	4	28	549	0
0.108	1	3	11	9	1	28	549	0
0.108	1	1	11	9	2	28	549	0
0.108	1	2	11	9	3	28	549	0
0.108	1	4	11	9	4	28	549	0
0.109	1	3	11	10	1	28	549	0
0.109	1	1	11	10	2	28	549	0
0.109	1	2	11	10	3	28	549	0
0.109	1	4	11	10	4	28	549	0
0.11	1	3	12	1	1	28	549	0
0.11	1	1	12	1	2	28	549	0
0.11	1	2	12	1	3	28	549	0
0.11	1	4	12	1	4	28	549	0
0.111	1	3	12	2	1	28	549	0
0.111	1	1	12	2	2	28	549	0
0.111	1	2	12	2	3	28	549	0
0.111	1	4	12	2	4	28	549	0
0.112	1	3	12	3	1	28	549	0
0.112	1	1	12	3	2	28	549	0
0.112	1	2	12	3	3	28	549	0
0.112	1	4	12	3	4	28	549	0
0.113	1	3	12	4	1	28	549	0
0.113	1	1	12	4	2	28	549	0
0.113	1	2	12	4	3	28	549	0
0.113	1	4	12	4	4	28	549	0
0.114	1	3	12	5	1	28	549	0
0.114	1	1	12	5	2	28	549	0
0.114	1	2	12	5	3	28	549	0
0.114	1	4	12	5	4	28	549	0
0.115	1	3	12	6	1	28	549	0
0.115	1	1	12	6	2	28	549	0
0.115	1	2	12	6	3	28	549	0
0.115	1	4	12	6	4	28	549	0
0.116	1	3	12	7	1	28	549	0
0.116	1	1	12	7	2	28	549	0
0.116	1	2	12	7	3	28	549	0
0.116	1	4	12	7	4	28	549	0
0.117	1	3	12	8	1	28	549	0
0.117	1	1	12	8	2	28	549	0
0.117	1	2	12	8	3	28	549	0
0.117	1	4	12	8	4	28	549	0
0.118	1	3	12	9	1	28	549	0
0.118	1	1	12	9	2	28	549	0
0.118	1	2	12	9	3	28	549	0
0.118	1	4	12	9	4	28	549	0
0.119	1	3	12	10	1	28	549	0
0.119	1	1	12	10	2	28	549	0
0.119	1	2	12	10	3	28	549	0
0.119	1	4	12	10	4	28	549	0
0.12	1	3	13	1	1	28	549	0
0.12	1	1	13	1	2	28	549	0
0.12	1	2	13	1	3	28	549	0
0.12	1	4	13	1	4	28	549	0
0.121	1	3	13	2	1	28	549	0
0.121	1	1	13	2	2	28	549	0
0.121	1	2	13	2	3	28	549	0
0.121	1	4	13	2	4	28	549	0
0.122	1	3	13	3	1	28	549	0
0.122	1	1	13	3	2	28	549	0
0.122	1	2	13	3	3	28	549	0
0.122	1	4	13	3	4	28	549	0
0.123	1	3	13	4	1	28	549	0
0.123	1	1	13	4	2	28	549	0
0.123	1	2	13	4	3	28	549	0
0.123	1	4	13	4	4	28	549	0
0.124	1	3	13	5	1	28	549	0
0.124	1	1	13	5	2	28	549	0
0.124	1	2	13	5	3	28	549	0
0.124	1	4	13	5	4	28	549	0
0.125	1	3	13	6	1	28	549	0
0.125	1	1	13	6	2	28	549	0
0.125	1	2	13	6	3	28	549	0
0.125	1	4	13	6	4	28	549	0
0.126	1	3	13	7	1	28	549	0
0.126	1	1	13	7	2	28	549	0
0.126	1	2	13	7	3	28	549	0
0.126	1	4	13	7	4	28	549	0
0.127	1	3	13	8	1	28	549	0
0.127	1	1	13	8	2	28	549	0
0.127	1	2	13	8	3	28	549	0
0.127	1	4	13	8	4	28	549	0
0.128	1	3	13	9	1	28	549	0
0.128	1	1	13	9	2	28	549	0
0.128	1	2	13	9	3	28	549	0
0.128	1	4	13	9	4	28	549	0
0.129	1	3	13	10	1	28	549	0
0.129	1	1	13	10	2	28	549	0
0.129	1	2	13	10	3	28	549	0
0.129	1	4	13	10	4	28	549	0
0.13	1	3	14	1	1	28	549	0
0.13	1	1	14	1	2	28	549	0
0.13	1	2	14	1	3	28	549	0
0.13	1	4	14	1	4	28	549	0
0.131	1	3	14	2	1	28	549	0
0.131	1	1	14	2	2	28	549	0
0.131	1	2	14	2	3	28	549	0
0.131	1	4	14	2	4	28	549	0
0.132	1	3	14	3	1	28	549	0
0.132	1	1	14	3	2	28	549	0
0.132	1	2	14	3	3	28	549	0
0.132	1	4	14	3	4	28	549	0
0.133	1	3	14	4	1	28	549	0
0.133	1	1	14	4	2	28	549	0
0.133	1	2	14	4	3	28	549	0
0.133	1	4	14	4	4	28	549	0
0.134	1	3	14	5	1	28	549	0
0.134	1	1	14	5	2	28	549	0
0.134	1	2	14	5	3	28	549	0
0.134	1	4	14	5	4	28	549	0
0.135	1	3	14	6	1	28	549	0
0.135	1	1	14	6	2	28	549	0
0.135	1	2	14	6	3	28	549	0
0.135	1	4	14	6	4	28	549	0
0.136	1	3	14	7	1	28	549	0
0.136	1	1	14	7	2	28	549	0
0.136	1	2	14	7	3	28	549	0
0.136	1	4	14	7	4	28	549	0
0.137	1	3	14	8	1	28	549	0
0.137	1	1	14	8	2	28	549	0
0.137	1	2	14	8	3	28	549	0
0.137	1	4	14	8	4	28	549	0
0.138	1	3	14	9	1	28	549	0
0.138	1	1	14	9	2	28	549	0
0.138	1	2	14	9	3	28	549	0
0.138	1	4	14	9	4	28	549	0
0.139	1	3	14	10	1	28	549	0
0.139	1	1	14	10	2	28	549	0
0.139	1	2	14	10	3	28	549	0
0.139	1	4	14	10	4	28	549	0
0.14	1	3	15	1	1	28	549	0
0.14	1	1	15	1	2	28	549	0
0.14	1	2	15	1	3	28	549	0
0.14	1	4	15	1	4	28	549	0
0.141	1	3	15	2	1	28	549	0
0.141	1	1	15	2	2	28	549	0
0.141	1	2	15	2	3	28	549	0
0.141	1	4	15	2	4	28	549	0
0.142	1	3	15	3	1	28	549	0
0.142	1	1	15	3	2	28	549	0
0.142	1	2	15	3	3	28	549	0
0.142	1	4	15	3	4	28	549	0
0.143	1	3	15	4	1	28	549	0
0.143	1	1	15	4	2	28	549	0
0.143	1	2	15	4	3	28	549	0
0.143	1	4	15	4	4	28	549	0
0.144	1	3	15	5	1	28	549	0
0.144	1	1	15	5	2	28	549	0
0.144	1	2	15	5	3	28	549	0
0.144	1	4	15	5	4	28	549	0
0.145	1	3	15	6	1	28	549	0
0.145	1	1	15	6	2	28	549	0
0.145	1	2	15	6	3	28	549	0
0.145	1	4	15	6	4	28	549	0
0.146	1	3	15	7	1	28	549	0
0.146	1	1	15	7	2	28	549	0
0.146	1	2	15	7	3	28	549	0
0.146	1	4	15	7	4	28	549	0
0.147	1	3	15	8	1	28	549	0
0.147	1	1	15	8	2	28	549	0
0.147	1	2	15	8	3	28	549	0
0.147	1	4	15	8	4	28	549	0
0.148	1	3	15	9	1	28	549	0
0.148	1	1	15	9	2	28	549	0
0.148	1	2	15	9	3	28	549	0
0.148	1	4	15	9	4	28	549	0
0.149	1	3	15	10	1	28	549	0
0.149	1	1	15	10	2	28	549	0
0.149	1	2	15	10	3	28	549	0
0.149	1	4	15	10	4	28	549	0
0.15	1	3	16	1	1	28	549	0
0.15	1	1	16	1	2	28	549	0
0.15	1	2	16	1	3	28	549	0
0.15	1	4	16	1	4	28	549	0
0.151	1	3	16	2	1	28	549	0
0.151	1	1	16	2	2	28	549	0
0.151	1	2	16	2	3	28	549	0
0.151	1	4	16	2	4	28	549	0
0.152	1	3	16	3	1	28	549	0
0.152	1	1	16	3	2	28	549	0
0.152	1	2	16	3	3	28	549	0
0.152	1	4	16	3	4	28	549	0
0.153	1	3	16	4	1	28	549	0
0.153	1	1	16	4	2	28	549	0
0.153	1	2	16	4	3	28	549	0
0.153	1	4	16	4	4	28	549	0
0.154	1	3	16	5	1	28	549	0
0.154	1	1	16	5	2	28	549	0
0.154	1	2	16	5	3	28	549	0
0.154	1	4	16	5	4	28	549	0
0.155	1	3	16	6	1	28	549	0
0.155	1	1	16	6	2	28	549	0
0.155	1	2	16	6	3	28	549	0
0.155	1	4	16	6	4	28	549	0
0.156	1	3	16	7	1	28	549	0
0.156	1	1	16	7	2	28	549	0
0.156	1	2	16	7	3	28	549	0
0.156	1	4	16	7	4	28	549	0
0.157	1	3	16	8	1	28	549	0
0.157	1	1	16	8	2	28	549	0
0.157	1	2	16	8	3	28	549	0
0.157	1	4	16	8	4	28	549	0
0.158	1	3	16	9	1	28	549	0
0.158	1	1	16	9	2	28	549	0
0.158	1	2	16	9	3	28	549	0
0.158	1	4	16	9	4	28	549	0
0.159	1	3	16	10	1	28	549	0
0.159	1	1	16	10	2	28	549	0
0.159	1	2	16	10	3	28	549	0
0.159	1	4	16	10	4	28	549	0
0.16	1	3	17	1	1	28	549	0
0.16	1	1	17	1	2	28	549	0
0.16	1	2	17	1	3	28	549	0
0.16	1	4	17	1	4	28	549	0
0.161	1	3	17	2	1	28	549	0
0.161	1	1	17	2	2	28	549	0
0.161	1	2	17	2	3	28	549	0
0.161	1	4	17	2	4	28	549	0
0.162	1	3	17	3	1	28	549	0
0.162	1	1	17	3	2	28	549	0
0.162	1	2	17	3	3	28	549	0
0.162	1	4	17	3	4	28	549	0
0.163	1	3	17	4	1	28	549	0
0.163	1	1	17	4	2	28	549	0
0.163	1	2	17	4	3	28	549	0
0.163	1	4	17	4	4	28	549	0
0.164	1	3	17	5	1	28	549	0
0.164	1	1	17	5	2	28	549	0
0.164	1	2	17	5	3	28	549	0
0.164	1	4	17	5	4	28	549	0
0.165	1	3	17	6	1	28	549	0
0.165	1	1	17	6	2	28	549	0
0.165	1	2	17	6	3	28	549	0
0.165	1	4	17	6	4	28	549	0
0.166	1	3	17	7	1	28	549	0
0.166	1	1	17	7	2	28	549	0
0.166	1	2	17	7	3	28	549	0
0.166	1	4	17	7	4	28	549	0
0.167	1	3	17	8	1	28	549	0
0.167	1	1	17	8	2	28	549	0
0.167	1	2	17	8	3	28	549	0
0.167	1	4	17	8	4	28	549	0
0.168	1	3	17	9	1	28	549	0
0.168	1	1	17	9	2	28	549	0
0.168	1	2	17	9	3	28	549	0
0.168	1	4	17	9	4	28	549	0
0.169	1	3	17	10	1	28	549	0
0.169	1	1	17	10	2	28	549	0
0.169	1	2	17	10	3	28	549	0
0.169	1	4	17	10	4	28	549	0
0.17	1	3	18	1	1	28	549	0
0.17	1	1	18	1	2	28	549	0
0.17	1	2	18	1	3	28	549	0
0.17	1	4	18	1	4	28	549	0
0.171	1	3	18	2	1	28	549	0
0.171	1	1	18	2	2	28	549	0
0.171	1	2	18	2	3	28	549	0
0.171	1	4	18	2	4	28	549	0
0.172	1	3	18	3	1	28	549	0
0.172	1	1	18	3	2	28	549	0
0.172	1	2	18	3	3	28	549	0
0.172	1	4	18	3	4	28	549	0
0.173	1	3	18	4	1	28	549	0
0.173	1	1	18	4	2	28	549	0
0.173	1	2	18	4	3	28	549	0
0.173	1	4	18	4	4	28	549	0
0.174	1	3	18	5	1	28	549	0
0.174	1	1	18	5	2	28	549	0
0.174	1	2	18	5	3	28	549	0
0.174	1	4	18	5	4	28	549	0
0.175	1	3	18	6	1	28	549	0
0.175	1	1	18	6	2	28	549	0
0.175	1	2	18	6	3	28	549	0
0.175	1	4	18	6	4	28	549	0
0.176	1	3	18	7	1	28	549	0
0.176	1	1	18	7	2	28	549	0
0.176	1	2	18	7	3	28	549	0
0.176	1	4	18	7	4	28	549	0
0.177	1	3	18	8	1	28	549	0
0.177	1	1	18	8	2	28	549	0
0.177	1	2	18	8	3	28	549	0
0.177	1	4	18	8	4	28	549	0
0.178	1	3	18	9	1	28	549	0
0.178	1	1	18	9	2	28	549	0
0.178	1	2	18	9	3	28	549	0
0.178	1	4	18	9	4	28	549	0
0.179	1	3	18	10	1	28	549	0
0.179	1	1	18	10	2	28	549	0
0.179	1	2	18	10	3	28	549	0
0.179	1	4	18	10	4	28	549	0
0.18	1	3	19	1	1	28	549	0
0.18	1	1	19	1	2	28	549	0
0.18	1	2	19	1	3	28	549	0
0.18	1	4	19	1	4	28	549	0
0.181	1	3	19	2	1	28	549	0
0.181	1	1	19	2	2	28	549	0
0.181	1	2	19	2	3	28	549	0
0.181	1	4	19	2	4	28	549	0
0.182	1	3	19	3	1	28	549	0
0.182	1	1	19	3	2	28	549	0
0.182	1	2	19	3	3	28	549	0
0.182	1	4	19	3	4	28	549	0
0.183	1	3	19	4	1	28	549	0
0.183	1	1	19	4	2	28	549	0
0.183	1	2	19	4	3	28	549	0
0.183	1	4	19	4	4	28	549	0
0.184	1	3	19	5	1	28	549	0
0.184	1	1	19	5	2	28	549	0
0.184	1	2	19	5	3	28	549	0
0.184	1	4	19	5	4	28	549	0
0.185	1	3	19	6	1	28	549	0
0.185	1	1	19	6	2	28	549	0
0.185	1	2	19	6	3	28	549	0
0.185	1	4	19	6	4	28	549	0
0.186	1	3	19	7	1	28	549	0
0.186	1	1	19	7	2	28	549	0
0.186	1	2	19	7	3	28	549	0
0.186	1	4	19	7	4	28	549	0
0.187	1	3	19	8	1	28	549	0
0.187	1	1	19	8	2	28	549	0
0.187	1	2	19	8	3	28	549	0
0.187	1	4	19	8	4	28	549	0
0.188	1	3	19	9	1	28	549	0
0.188	1	1	19	9	2	28	549	0
0.188	1	2	19	9	3	28	549	0
0.188	1	4	19	9	4	28	549	0
0.189	1	3	19	10	1	28	549	0
0.189	1	1	19	10	2	28	549	0
0.189	1	2	19	10	3	28	549	0
0.189	1	4	19	10	4	28	549	0
0.19	1	3	20	1	1	28	549	0
0.19	1	1	20	1	2	28	549	0
0.19	1	2	20	1	3	28	549	0
0.19	1	4	20	1	4	28	549	0
0.191	1	3	20	2	1	28	549	0
0.191	1	1	20	2	2	28	549	0
0.191	1	2	20	2	3	28	549	0
0.191	1	4	20	2	4	28	549	0
0.192	1	3	20	3	1	28	549	0
0.192	1	1	20	3	2	28	549	0
0.192	1	2	20	3	3	28	549	0
0.192	1	4	20	3	4	28	549	0
0.193	1	3	20	4	1	28	549	0
0.193	1	1	20	4	2	28	549	0
0.193	1	2	20	4	3	28	549	0
0.193	1	4	20	4	4	28	549	0
0.194	1	3	20	5	1	28	549	0
0.194	1	1	20	5	2	28	549	0
0.194	1	2	20	5	3	28	549	0
0.194	1	4	20	5	4	28	549	0
0.195	1	3	20	6	1	28	549	0
0.195	1	1	20	6	2	28	549	0
0.195	1	2	20	6	3	28	549	0
0.195	1	4	20	6	4	28	549	0
0.196	1	3	20	7	1	28	549	0
0.196	1	1	20	7	2	28	549	0
0.196	1	2	20	7	3	28	549	0
0.196	1	4	20	7	4	28	549	0
0.197	1	3	20	8	1	28	549	0
0.197	1	1	20	8	2	28	549	0
0.197	1	2	20	8	3	28	549	0
0.197	1	4	20	8	4	28	549	0
0.198	1	3	20	9	1	28	549	0
0.198	1	1	20	9	2	28	549	0
0.198	1	2	20	9	3	28	549	0
0.198	1	4	20	9	4	28	549	0
0.199	1	3	20	10	1	28	549	0
0.199	1	1	20	10	2	28	549	0
0.199	1	2	20	10	3	28	549	0
0.199	1	4	20	10	4	28	549	0
