% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.196	1	4	20	7	4	28	2196	0	0	0
0.197	1	3	20	8	1	28	2196	0	0	0
0.198	1	1	20	9	2	28	2196	0	0	0
0.199	1	2	20	10	3	28	2196	0	0	0
0.2	1	4	21	1	4	28	2196	0	0	0
0.201	1	3	21	2	1	28	2196	0	0	0
0.202	1	1	21	3	2	28	2196	0	0	0
0.203	1	2	21	4	3	28	2196	0	0	0
0.204	1	4	21	5	4	28	2196	0	0	0
0.205	1	3	21	6	1	28	2196	0	0	0
0.206	1	1	21	7	2	28	2196	0	0	0
0.207	1	2	21	8	3	28	2196	0	0	0
0.208	1	4	21	9	4	28	2196	0	0	0
0.209	1	3	21	10	1	28	2196	0	0	0
0.21	1	1	22	1	2	28	2196	0	0	0
0.211	1	2	22	2	3	28	2196	0	0	0
0.212	1	4	22	3	4	28	2196	0	0	0
0.213	1	3	22	4	1	28	2196	0	0	0
0.214	1	1	22	5	2	28	2196	0	0	0
0.215	1	2	22	6	3	28	2196	0	0	0
0.216	1	4	22	7	4	28	2196	0	0	0
0.217	1	3	22	8	1	28	2196	0	0	0
0.218	1	1	22	9	2	28	2196	0	0	0
0.219	1	2	22	10	3	28	2196	0	0	0
0.22	1	4	23	1	4	28	2196	0	0	0
0.221	1	3	23	2	1	28	2196	0	0	0
0.222	1	1	23	3	2	28	2196	0	0	0
0.223	1	2	23	4	3	28	2196	0	0	0
0.224	1	4	23	5	4	28	2196	0	0	0
0.225	1	3	23	6	1	28	2196	0	0	0
0.226	1	1	23	7	2	28	2196	0	0	0
0.227	1	2	23	8	3	28	2196	0	0	0
0.228	1	4	23	9	4	28	2196	0	0	0
0.229	1	3	23	10	1	28	2196	0	0	0
0.23	1	1	24	1	2	28	2196	0	0	0
0.231	1	2	24	2	3	28	2196	0	0	0
0.232	1	4	24	3	4	28	2196	0	0	0
0.233	1	3	24	4	1	28	2196	0	0	0
0.234	1	1	24	5	2	28	2196	0	0	0
0.235	1	2	24	6	3	28	2196	0	0	0
0.236	1	4	24	7	4	28	2196	0	0	0
0.237	1	3	24	8	1	28	2196	0	0	0
0.238	1	1	24	9	2	28	2196	0	0	0
0.239	1	2	24	10	3	28	2196	0	0	0
0.24	1	4	25	1	4	28	2196	0	0	0
0.241	1	3	25	2	1	28	2196	0	0	0
0.242	1	1	25	3	2	28	2196	0	0	0
0.243	1	2	25	4	3	28	2196	0	0	0
0.244	1	4	25	5	4	28	2196	0	0	0
0.245	1	3	25	6	1	28	2196	0	0	0
0.246	1	1	25	7	2	28	2196	0	0	0
0.247	1	2	25	8	3	28	2196	0	0	0
0.248	1	4	25	9	4	28	2196	0	0	0
0.249	1	3	25	10	1	28	2196	0	0	0
0.25	1	1	26	1	2	28	2196	0	0	0
0.251	1	2	26	2	3	28	2196	0	0	0
0.252	1	4	26	3	4	28	2196	0	0	0
0.253	1	3	26	4	1	28	2196	0	0	0
0.254	1	1	26	5	2	28	2196	0	0	0
0.255	1	2	26	6	3	28	2196	0	0	0
0.256	1	4	26	7	4	28	2196	0	0	0
0.257	1	3	26	8	1	28	2196	0	0	0
0.258	1	1	26	9	2	28	2196	0	0	0
0.259	1	2	26	10	3	28	2196	0	0	0
0.26	1	4	27	1	4	28	2196	0	0	0
0.261	1	3	27	2	1	28	2196	0	0	0
0.262	1	1	27	3	2	28	2196	0	0	0
0.263	1	2	27	4	3	28	2196	0	0	0
0.264	1	4	27	5	4	28	2196	0	0	0
0.265	1	3	27	6	1	28	2196	0	0	0
0.266	1	1	27	7	2	28	2196	0	0	0
0.267	1	2	27	8	3	28	2196	0	0	0
0.268	1	4	27	9	4	28	2196	0	0	0
0.269	1	3	27	10	1	28	2196	0	0	0
0.27	1	1	28	1	2	28	2196	0	0	0
0.271	1	2	28	2	3	28	2196	0	0	0
0.272	1	4	28	3	4	28	2196	0	0	0
0.273	1	3	28	4	1	28	2196	0	0	0
0.274	1	1	28	5	2	28	2196	0	0	0
0.275	1	2	28	6	3	28	2196	0	0	0
0.276	1	4	28	7	4	28	2196	0	0	0
0.277	1	3	28	8	1	28	2196	0	0	0
0.278	1	1	28	9	2	28	2196	0	0	0
0.279	1	2	28	10	3	28	2196	0	0	0
0.28	1	4	29	1	4	28	2196	0	0	0
0.281	1	3	29	2	1	28	2196	0	0	0
0.282	1	1	29	3	2	28	2196	0	0	0
0.283	1	2	29	4	3	28	2196	0	0	0
0.284	1	4	29	5	4	28	2196	0	0	0
0.285	1	3	29	6	1	28	2196	0	0	0
0.286	1	1	29	7	2	28	2196	0	0	0
0.287	1	2	29	8	3	28	2196	0	0	0
0.288	1	4	29	9	4	28	2196	0	0	0
0.289	1	3	29	10	1	28	2196	0	0	0
0.29	1	1	30	1	2	28	2196	0	0	0
0.291	1	2	30	2	3	28	2196	0	0	0
0.292	1	4	30	3	4	28	2196	0	0	0
0.293	1	3	30	4	1	28	2196	0	0	0
0.294	1	1	30	5	2	28	2196	0	0	0
0.295	1	2	30	6	3	28	2196	0	0	0
0.296	1	4	30	7	4	28	2196	0	0	0
0.297	1	3	30	8	1	28	2196	0	0	0
0.298	1	1	30	9	2	28	2196	0	0	0
0.299	1	2	30	10	3	28	2196	0	0	0
0.3	1	4	31	1	4	28	2196	0	0	0
0.301	1	3	31	2	1	28	2196	0	0	0
0.302	1	1	31	3	2	28	2196	0	0	0
0.303	1	2	31	4	3	28	2196	0	0	0
0.304	1	4	31	5	4	28	2196	0	0	0
0.305	1	3	31	6	1	28	2196	0	0	0
0.306	1	1	31	7	2	28	2196	0	0	0
0.307	1	2	31	8	3	28	2196	0	0	0
0.308	1	4	31	9	4	28	2196	0	0	0
0.309	1	3	31	10	1	28	2196	0	0	0
0.31	1	1	32	1	2	28	2196	0	0	0
0.311	1	2	32	2	3	28	2196	0	0	0
0.312	1	4	32	3	4	28	2196	0	0	0
0.313	1	3	32	4	1	28	2196	0	0	0
0.314	1	1	32	5	2	28	2196	0	0	0
0.315	1	2	32	6	3	28	2196	0	0	0
0.316	1	4	32	7	4	28	2196	0	0	0
0.317	1	3	32	8	1	28	2196	0	0	0
0.318	1	1	32	9	2	28	2196	0	0	0
0.319	1	2	32	10	3	28	2196	0	0	0
0.32	1	4	33	1	4	28	2196	0	0	0
0.321	1	3	33	2	1	28	2196	0	0	0
0.322	1	1	33	3	2	28	2196	0	0	0
0.323	1	2	33	4	3	28	2196	0	0	0
0.324	1	4	33	5	4	28	2196	0	0	0
0.325	1	3	33	6	1	28	2196	0	0	0
0.326	1	1	33	7	2	28	2196	0	0	0
0.327	1	2	33	8	3	28	2196	0	0	0
0.328	1	4	33	9	4	28	2196	0	0	0
0.329	1	3	33	10	1	28	2196	0	0	0
0.33	1	1	34	1	2	28	2196	0	0	0
0.331	1	2	34	2	3	28	2196	0	0	0
0.332	1	4	34	3	4	28	2196	0	0	0
0.333	1	3	34	4	1	28	2196	0	0	0
0.334	1	1	34	5	2	28	2196	0	0	0
0.335	1	2	34	6	3	28	2196	0	0	0
0.336	1	4	34	7	4	28	2196	0	0	0
0.337	1	3	34	8	1	28	2196	0	0	0
0.338	1	1	34	9	2	28	2196	0	0	0
0.339	1	2	34	10	3	28	2196	0	0	0
0.34	1	4	35	1	4	28	2196	0	0	0
0.341	1	3	35	2	1	28	2196	0	0	0
0.342	1	1	35	3	2	28	2196	0	0	0
0.343	1	2	35	4	3	28	2196	0	0	0
0.344	1	4	35	5	4	28	2196	0	0	0
0.345	1	3	35	6	1	28	2196	0	0	0
0.346	1	1	35	7	2	28	2196	0	0	0
0.347	1	2	35	8	3	28	2196	0	0	0
0.348	1	4	35	9	4	28	2196	0	0	0
0.349	1	3	35	10	1	28	2196	0	0	0
0.35	1	1	36	1	2	28	2196	0	0	0
0.351	1	2	36	2	3	28	2196	0	0	0
0.352	1	4	36	3	4	28	2196	0	0	0
0.353	1	3	36	4	1	28	2196	0	0	0
0.354	1	1	36	5	2	28	2196	0	0	0
0.355	1	2	36	6	3	28	2196	0	0	0
0.356	1	4	36	7	4	28	2196	0	0	0
0.357	1	3	36	8	1	28	2196	0	0	0
0.358	1	1	36	9	2	28	2196	0	0	0
0.359	1	2	36	10	3	28	2196	0	0	0
0.36	1	4	37	1	4	28	2196	0	0	0
0.361	1	3	37	2	1	28	2196	0	0	0
0.362	1	1	37	3	2	28	2196	0	0	0
0.363	1	2	37	4	3	28	2196	0	0	0
0.364	1	4	37	5	4	28	2196	0	0	0
0.365	1	3	37	6	1	28	2196	0	0	0
0.366	1	1	37	7	2	28	2196	0	0	0
0.367	1	2	37	8	3	28	2196	0	0	0
0.368	1	4	37	9	4	28	2196	0	0	0
0.369	1	3	37	10	1	28	2196	0	0	0
0.37	1	1	38	1	2	28	2196	0	0	0
0.371	1	2	38	2	3	28	2196	0	0	0
0.372	1	4	38	3	4	28	2196	0	0	0
0.373	1	3	38	4	1	28	2196	0	0	0
0.374	1	1	38	5	2	28	2196	0	0	0
0.375	1	2	38	6	3	28	2196	0	0	0
0.376	1	4	38	7	4	28	2196	0	0	0
0.377	1	3	38	8	1	28	2196	0	0	0
0.378	1	1	38	9	2	28	2196	0	0	0
0.379	1	2	38	10	3	28	2196	0	0	0
0.38	1	4	39	1	4	28	2196	0	0	0
0.381	1	3	39	2	1	28	2196	0	0	0
0.382	1	1	39	3	2	28	2196	0	0	0
0.383	1	2	39	4	3	28	2196	0	0	0
0.384	1	4	39	5	4	28	2196	0	0	0
0.385	1	3	39	6	1	28	2196	0	0	0
0.386	1	1	39	7	2	28	2196	0	0	0
0.387	1	2	39	8	3	28	2196	0	0	0
0.388	1	4	39	9	4	28	2196	0	0	0
0.389	1	3	39	10	1	28	2196	0	0	0
0.39	1	1	40	1	2	28	2196	0	0	0
0.391	1	2	40	2	3	28	2196	0	0	0
0.392	1	4	40	3	4	28	2196	0	0	0
0.393	1	3	40	4	1	28	2196	0	0	0
0.394	1	1	40	5	2	28	2196	0	0	0
0.395	1	2	40	6	3	28	2196	0	0	0
0.396	1	4	40	7	4	28	2196	0	0	0
0.397	1	3	40	8	1	28	2196	0	0	0
0.398	1	1	40	9	2	28	2196	0	0	0
0.399	1	2	40	10	3	28	2196	0	0	0
0.4	1	4	41	1	4	28	2196	0	0	0
0.401	1	3	41	2	1	28	2196	0	0	0
0.402	1	1	41	3	2	28	2196	0	0	0
0.403	1	2	41	4	3	28	2196	0	0	0
0.404	1	4	41	5	4	28	2196	0	0	0
0.405	1	3	41	6	1	28	2196	0	0	0
0.406	1	1	41	7	2	28	2196	0	0	0
0.407	1	2	41	8	3	28	2196	0	0	0
0.408	1	4	41	9	4	28	2196	0	0	0
0.409	1	3	41	10	1	28	2196	0	0	0
0.41	1	1	42	1	2	28	2196	0	0	0
0.411	1	2	42	2	3	28	2196	0	0	0
0.412	1	4	42	3	4	28	2196	0	0	0
0.413	1	3	42	4	1	28	2196	0	0	0
0.414	1	1	42	5	2	28	2196	0	0	0
0.415	1	2	42	6	3	28	2196	0	0	0
0.416	1	4	42	7	4	28	2196	0	0	0
0.417	1	3	42	8	1	28	2196	0	0	0
0.418	1	1	42	9	2	28	2196	0	0	0
0.419	1	2	42	10	3	28	2196	0	0	0
0.42	1	4	43	1	4	28	2196	0	0	0
0.421	1	3	43	2	1	28	2196	0	0	0
0.422	1	1	43	3	2	28	2196	0	0	0
0.423	1	2	43	4	3	28	2196	0	0	0
0.424	1	4	43	5	4	28	2196	0	0	0
0.425	1	3	43	6	1	28	2196	0	0	0
0.426	1	1	43	7	2	28	2196	0	0	0
0.427	1	2	43	8	3	28	2196	0	0	0
0.428	1	4	43	9	4	28	2196	0	0	0
0.429	1	3	43	10	1	28	2196	0	0	0
0.43	1	1	44	1	2	28	2196	0	0	0
0.431	1	2	44	2	3	28	2196	0	0	0
0.432	1	4	44	3	4	28	2196	0	0	0
0.433	1	3	44	4	1	28	2196	0	0	0
0.434	1	1	44	5	2	28	2196	0	0	0
0.435	1	2	44	6	3	28	2196	0	0	0
0.436	1	4	44	7	4	28	2196	0	0	0
0.437	1	3	44	8	1	28	2196	0	0	0
0.438	1	1	44	9	2	28	2196	0	0	0
0.439	1	2	44	10	3	28	2196	0	0	0
0.44	1	4	45	1	4	28	2196	0	0	0
0.441	1	3	45	2	1	28	2196	0	0	0
0.442	1	1	45	3	2	28	2196	0	0	0
0.443	1	2	45	4	3	28	2196	0	0	0
0.444	1	4	45	5	4	28	2196	0	0	0
0.445	1	3	45	6	1	28	2196	0	0	0
0.446	1	1	45	7	2	28	2196	0	0	0
0.447	1	2	45	8	3	28	2196	0	0	0
0.448	1	4	45	9	4	28	2196	0	0	0
0.449	1	3	45	10	1	28	2196	0	0	0
0.45	1	1	46	1	2	28	2196	0	0	0
0.451	1	2	46	2	3	28	2196	0	0	0
0.452	1	4	46	3	4	28	2196	0	0	0
0.453	1	3	46	4	1	28	2196	0	0	0
0.454	1	1	46	5	2	28	2196	0	0	0
0.455	1	2	46	6	3	28	2196	0	0	0
0.456	1	4	46	7	4	28	2196	0	0	0
0.457	1	3	46	8	1	28	2196	0	0	0
0.458	1	1	46	9	2	28	2196	0	0	0
0.459	1	2	46	10	3	28	2196	0	0	0
0.46	1	4	47	1	4	28	2196	0	0	0
0.461	1	3	47	2	1	28	2196	0	0	0
0.462	1	1	47	3	2	28	2196	0	0	0
0.463	1	2	47	4	3	28	2196	0	0	0
0.464	1	4	47	5	4	28	2196	0	0	0
0.465	1	3	47	6	1	28	2196	0	0	0
0.466	1	1	47	7	2	28	2196	0	0	0
0.467	1	2	47	8	3	28	2196	0	0	0
0.468	1	4	47	9	4	28	2196	0	0	0
0.469	1	3	47	10	1	28	2196	0	0	0
0.47	1	1	48	1	2	28	2196	0	0	0
0.471	1	2	48	2	3	28	2196	0	0	0
0.472	1	4	48	3	4	28	2196	0	0	0
0.473	1	3	48	4	1	28	2196	0	0	0
0.474	1	1	48	5	2	28	2196	0	0	0
0.475	1	2	48	6	3	28	2196	0	0	0
0.476	1	4	48	7	4	28	2196	0	0	0
0.477	1	3	48	8	1	28	2196	0	0	0
0.478	1	1	48	9	2	28	2196	0	0	0
0.479	1	2	48	10	3	28	2196	0	0	0
0.48	1	4	49	1	4	28	2196	0	0	0
0.481	1	3	49	2	1	28	2196	0	0	0
0.482	1	1	49	3	2	28	2196	0	0	0
0.483	1	2	49	4	3	28	2196	0	0	0
0.484	1	4	49	5	4	28	2196	0	0	0
0.485	1	3	49	6	1	28	2196	0	0	0
0.486	1	1	49	7	2	28	2196	0	0	0
0.487	1	2	49	8	3	28	2196	0	0	0
0.488	1	4	49	9	4	28	2196	0	0	0
0.489	1	3	49	10	1	28	2196	0	0	0
0.49	1	1	50	1	2	28	2196	0	0	0
0.491	1	2	50	2	3	28	2196	0	0	0
0.492	1	4	50	3	4	28	2196	0	0	0
0.493	1	3	50	4	1	28	2196	0	0	0
0.494	1	1	50	5	2	28	2196	0	0	0
0.495	1	2	50	6	3	28	2196	0	0	0
0.496	1	4	50	7	4	28	2196	0	0	0
0.497	1	3	50	8	1	28	2196	0	0	0
0.498	1	1	50	9	2	28	2196	0	0	0
0.499	1	2	50	10	3	28	2196	0	0	0
0.5	1	4	51	1	4	28	2196	0	0	0
0.501	1	3	51	2	1	28	2196	0	0	0
0.502	1	1	51	3	2	28	2196	0	0	0
0.503	1	2	51	4	3	28	2196	0	0	0
0.504	1	4	51	5	4	28	2196	0	0	0
0.505	1	3	51	6	1	28	2196	0	0	0
0.506	1	1	51	7	2	28	2196	0	0	0
0.507	1	2	51	8	3	28	2196	0	0	0
0.508	1	4	51	9	4	28	2196	0	0	0
0.509	1	3	51	10	1	28	2196	0	0	0
0.51	1	1	52	1	2	28	2196	0	0	0
0.511	1	2	52	2	3	28	2196	0	0	0
0.512	1	4	52	3	4	28	2196	0	0	0
0.513	1	3	52	4	1	28	2196	0	0	0
0.514	1	1	52	5	2	28	2196	0	0	0
0.515	1	2	52	6	3	28	2196	0	0	0
0.516	1	4	52	7	4	28	2196	0	0	0
0.517	1	3	52	8	1	28	2196	0	0	0
0.518	1	1	52	9	2	28	2196	0	0	0
0.519	1	2	52	10	3	28	2196	0	0	0
0.52	1	4	53	1	4	28	2196	0	0	0
0.521	1	3	53	2	1	28	2196	0	0	0
0.522	1	1	53	3	2	28	2196	0	0	0
0.523	1	2	53	4	3	28	2196	0	0	0
0.524	1	4	53	5	4	28	2196	0	0	0
0.525	1	3	53	6	1	28	2196	0	0	0
0.526	1	1	53	7	2	28	2196	0	0	0
0.527	1	2	53	8	3	28	2196	0	0	0
0.528	1	4	53	9	4	28	2196	0	0	0
0.529	1	3	53	10	1	28	2196	0	0	0
0.53	1	1	54	1	2	28	2196	0	0	0
0.531	1	2	54	2	3	28	2196	0	0	0
0.532	1	4	54	3	4	28	2196	0	0	0
0.533	1	3	54	4	1	28	2196	0	0	0
0.534	1	1	54	5	2	28	2196	0	0	0
0.535	1	2	54	6	3	28	2196	0	0	0
0.536	1	4	54	7	4	28	2196	0	0	0
0.537	1	3	54	8	1	28	2196	0	0	0
0.538	1	1	54	9	2	28	2196	0	0	0
0.539	1	2	54	10	3	28	2196	0	0	0
0.54	1	4	55	1	4	28	2196	0	0	0
0.541	1	3	55	2	1	28	2196	0	0	0
0.542	1	1	55	3	2	28	2196	0	0	0
0.543	1	2	55	4	3	28	2196	0	0	0
0.544	1	4	55	5	4	28	2196	0	0	0
0.545	1	3	55	6	1	28	2196	0	0	0
0.546	1	1	55	7	2	28	2196	0	0	0
0.547	1	2	55	8	3	28	2196	0	0	0
0.548	1	4	55	9	4	28	2196	0	0	0
0.549	1	3	55	10	1	28	2196	0	0	0
0.55	1	1	56	1	2	28	2196	0	0	0
0.551	1	2	56	2	3	28	2196	0	0	0
0.552	1	4	56	3	4	28	2196	0	0	0
0.553	1	3	56	4	1	28	2196	0	0	0
0.554	1	1	56	5	2	28	2196	0	0	0
0.555	1	2	56	6	3	28	2196	0	0	0
0.556	1	4	56	7	4	28	2196	0	0	0
0.557	1	3	56	8	1	28	2196	0	0	0
0.558	1	1	56	9	2	28	2196	0	0	0
0.559	1	2	56	10	3	28	2196	0	0	0
0.56	1	4	57	1	4	28	2196	0	0	0
0.561	1	3	57	2	1	28	2196	0	0	0
0.562	1	1	57	3	2	28	2196	0	0	0
0.563	1	2	57	4	3	28	2196	0	0	0
0.564	1	4	57	5	4	28	2196	0	0	0
0.565	1	3	57	6	1	28	2196	0	0	0
0.566	1	1	57	7	2	28	2196	0	0	0
0.567	1	2	57	8	3	28	2196	0	0	0
0.568	1	4	57	9	4	28	2196	0	0	0
0.569	1	3	57	10	1	28	2196	0	0	0
0.57	1	1	58	1	2	28	2196	0	0	0
0.571	1	2	58	2	3	28	2196	0	0	0
0.572	1	4	58	3	4	28	2196	0	0	0
0.573	1	3	58	4	1	28	2196	0	0	0
0.574	1	1	58	5	2	28	2196	0	0	0
0.575	1	2	58	6	3	28	2196	0	0	0
